job_id,title,location,country,job_family,employment_type,employee_type,url
JR353526,"Lead Data Scientist, Growth Marketing",India - Hyderabad,India,Data,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Lead-Data-Scientist--Growth-Marketing_JR353526
JR353624,Named Account Executive - Commerce Cloud,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Named-Account-Executive---Commerce-Cloud_JR353624
JR353762,"Cloud Account Executive - Marketing Cloud, SMB",India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Cloud-Account-Executive---Marketing-Cloud--SMB_JR353762-1
JR353759,"Cloud Account Executive - Marketing Cloud, SMB",India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Cloud-Account-Executive---Marketing-Cloud--SMB_JR353759
JR353953,Data Integration Product Manager - Informatica,India - Bangalore,India,Product,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Data-Integration-Product-Manager---Informatica_JR353953
JR353963,"Field Marketing Manager, INDIA",India - Bangalore,India,Marketing & Communications,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Field-Marketing-Manager--INDIA_JR353963
JR354334,"Senior Data Analyst, Marketing Performance",India - Hyderabad,India,Data,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Senior-Data-Analyst--Marketing-Performance_JR354334
JR283555,"Manager, Technical Consulting",India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Manager-Technical-Consulting---Consumer-Goods---Retail_JR283555
JR288319,Sales Development Representative,India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Sales-Development-Representative_JR288319
JR310367,Software Engineering SMTS/LMTS,India - Hyderabad,India,Software Engineering,Full time,Fixed Term (Fixed Term),https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Software-Engineering-SMTS-LMTS_JR310367
JR312773,Performance Engineer - MTS,India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Performance-Engineer--MTS-SMTS-_JR312773
JR312798,Software Engineering-MTS-SDET,India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Software-Engineering-SDET_JR312798
JR317907,"Director, Salesforce Program Leader",India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Director--Salesforce-Project-Management_JR317907-1
JR321224,Success Architect,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Success-Architect-Sales-Cloud_JR321224
JR321330,Salesforce Support Engineer - Industries & Revenue Cloud,India - Hyderabad,India,Customer Success,Full time,Fixed Term (Fixed Term),https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Support-Engineer-Industry-Cloud-Immediate-Joiner-_JR321330
JR322267,Salesforce Success Architect (Salesforce Exp is mandatory)/AMER Shifts,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Salesforce-Success-Architect--Salesforce-Exp-is-mandatory-_JR322267
JR322959,Salesforce Success Architect,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Salesforce-Senior-Architect_JR322959
JR323967,Customer Success Manager (Salesforce technical exp mandatory),India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Customer-Success-Manager--Salesforce-technical-exp-mandatory-_JR323967
JR326554,Salesforce Technical Architect,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Salesforce-Technical-Architect_JR326554-1
JR327146,Salesforce Senior Technical Manager (Salesforce Technical Architect experience is mandatory),India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Salesforce-Senior-Technical-Manager_JR327146
JR327393,Salesforce Technical Architect (Revenue Cloud Or Salesforce CPQ)/Healthcare/FINS,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Salesforce-Technical-Architect--Revenue-Cloud-Or-Salesforce-CPQ-_JR327393
JR327156,Mulesoft Technical Manager,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Mulesoft-Technical-Manager_JR327156
