title,role,location,experience,skills,apply_id
Mainframe Lead,Lead Software Engineer,"Hyderabad, India",,DE-Mainframe_Vanila_online_Batch.,creq265530
Python Developer,Lead Software Engineer,"Hyderabad, India",,"DE-Python_Full Stack (with SQL), Frameworks, DevOps.",creq265517
Java Architect,Architect (Level: Manager),"Hyderabad, India",,"DE-Web Foundation, Core Java Foundation.",creq265511
Senior Tech Lead-Java,Lead Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq265506
Java Full Stack,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq265301
python linux Gen AI Tool,Senior Software Engineer,"Hyderabad, India",,AILab-GENAI-GCP.,creq265804
Project Manager,Consulting Manager,"Hyderabad, India",,PMT-PROJECT MANAGEMENT-CORE.,creq265396
PMT Project Manager,Team Lead - Delivery Management,"Hyderabad, India",,PMT-PROJECT MANAGEMENT-CORE.,creq265395
FDE,Lead Software Engineer,"Hyderabad, India",,AILab-GENAI-GCP.,creq253400
Scrum Master,Lead Software Engineer,"Pune, India",,PMT-PROJECT MANAGEMENT-CORE.,creq263501
Java FSD - Mumbai,Software Engineer,"Mumbai, India",,"DE-Full Stack_Spring Data, Oracle.",creq264723
FDE,Architect (Level: Manager),"Hyderabad, India",,AILab-GENAI-GCP.,creq253434
FDE,Lead Software Engineer,"Chennai, India",,AILab-GENAI-GCP.,creq253446
Pega BA,Architect (Level: Manager),"Hyderabad, India",,CS-HLS-PVDR-CQMR.,creq264873
Architect (ATC),Architect (Level: Manager),"Hyderabad, India",,MS D365-ERP.,creq264427
Senior Python Developer - AI/ML Engineering,Lead Software Engineer,"Hyderabad, India",,ET-GENAI-GCP.,creq251389
Scrum Master,Systems Architect (Level: Senior Manager),"Pune, India",,PMT-PROJECT MANAGEMENT-CORE.,creq259561
Agentic Software Developer in Test (SDET),Lead Software Engineer,"Hyderabad, India",,DA-Agentic.,creq265068
Consultant,Senior Software Engineer,"Chennai, India",,"DE-Full Stack, REST API, ORM, NO SQL.",creq264910
Node JS Consultant,Senior Software Engineer,"Hyderabad, India",,DE-NodeJS_Microservices.,creq257475
Devise Testing,Senior Software Engineer,"Hyderabad, India",,DA-Media Smart TV.,creq262479
Market Risk Analyst,Lead Software Engineer,"Bangalore, India",2-5 years,CS-BFS-RC-CRDT-MRKT-RISK.,creq265594
Camunda Developer,Lead Software Engineer,"Chennai, India",,BPM-Camunda.,creq264804
Senior Consultant,Lead Software Engineer,"Bangalore, India",,DE-Service Dev Foundation.,creq258114
Java MS Springboot,Lead Software Engineer,"Chennai, India",,DE-Spring Boot.,creq257750
Python Developer + Big Data,Lead Software Engineer,"Chennai, India",,"Data-Oracle OWB with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration .",creq259926
GCP Devops,Lead Software Engineer,"Hyderabad, India",,CIS-GCP Infra - DevOps.,creq265104
SAP BW/4HANA,Lead Software Engineer,"Bangalore, India",,SAP-Analytics.,creq265348
Email Security Administrator,Software Engineer,"Bangalore, India",,"Data-Power BI, Qlik, Data and Azure Cloud Skills.",creq265347
.Net FSD,Lead Software Engineer,"Pune, India",,DE-.NET Core MVC-Web Applications.,creq263615
Gen AI,Software Engineer,"Pune, India",,AILab-GENAI-AWS.,creq255830
Senior Developer,Software Engineer,"Pune, India",,AILab-GENAI-AWS.,creq255829
Java Developer,Lead Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq261204
Java Backend developer,Lead Software Engineer,"Hyderabad, India",,"DE-Full Stack_Spring Data, Postgresql.",creq265276
Java Developer,Software Engineer,"Hyderabad, India",,"DE-Spring Boot,MVC, REST API.",creq264749
John Wiley - T1 - Java FSD,Lead Software Engineer,"Pune, India",,DE-Service Dev Foundation.,creq258661
BA Wealth Management,Lead Software Engineer,"Hyderabad, India",,CS-BFS-WM-RM-ADVIS.,creq264883
BA Wealth Management,Lead Software Engineer,"Hyderabad, India",,CS-BFS-WM-RM-ADVIS.,creq264882
Java,Lead Software Engineer,"Bangalore, India",,DE-Service Dev Foundation.,creq251343
Senior Consultant,Lead Software Engineer,"Chennai, India",,CIS-AWS Infra - DevOps.,creq265331
Sr OT Network Architect,Architect (Level: Manager),"Hyderabad, India",,AIMS-IMS-NWAdmin.,creq265016
Cloud Data Architect,Architect (Level: Manager),"Hyderabad, India",,"Data-Snowflake with AWS Native Services, ETL.",creq265259
Java Backend Technical Lead,Lead Software Engineer,"Hyderabad, India",,"DE-Full Stack_Spring Data, Postgresql.",creq265263
Snowflake Developer,Software Engineer,"Gurgaon, India",,"Data-Snowflake with Azure Native Services, ETL.",creq263809
.Net Developer,Lead Software Engineer,"Pune, India",,DE-.NET Core MVC-Web Applications.,creq263616
Content Specialist – Recruitment & Talent Marketing,Associate Manager-Marketing and Corporate Communication,"Chennai, India",,Not Applicable Skill Classification,job-261394
HR BP (UK & Ireland Region),Senior Consultant-HR,"Bangalore, India",,Not Applicable Skill Classification,job-261399
Google Cloud,Architect (Level: Manager),"Mumbai, India",,PMT-PROJECT MANAGEMENT-BFS.,creq264552
Java Backend Technical Lead,Lead Software Engineer,"Hyderabad, India",,"DE-Full Stack_Spring Data, Postgresql.",creq265274
Java Backend Technical Lead,Lead Software Engineer,"Hyderabad, India",,"DE-Full Stack_Spring Data, Postgresql.",creq265262
Java (MS/Springboot) Developer,Lead Software Engineer,"Pune, India",,DE-Web Foundation_Spring Data.,creq262171
JAVA Fullstack Lead,Lead Software Engineer,"Hyderabad, India",,"DE-Spring Boot,MVC, REST API.",creq264741
Senior Automation Engineer,Lead Software Engineer,"Bangalore, India",,DA-WebSeleniumJava.,creq265043
Pega Support,Senior Software Engineer,"Hyderabad, India",,Pega-Pega Platform Skills + IAT Skills + RPA.,creq260281
Architect (ATC),Architect (Level: Manager),"Pune, India",,CS-BFS-RC-FRAUD-AML.,creq261516
Lead Business Analyst,Senior Consultant,"Chennai, India",,CS-BFS-RC-FRAUD-AML.,creq264123
Java Backend AWS Developer,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq242922
GEN AI Developer,Lead Software Engineer,"Chennai, India",,AILab-GENAI-AWS.,creq257423
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,Data-Azure ML.,creq265194
Architect (ATC),Architect (Level: Manager),"Bangalore, India",,SAP-Finance & Consolidation.,creq263975
Delivery Excellence Coach,Associate Manager-Process,"Chennai, India",,Not Mapped Skill Cluster.,job-260804
Senior Java AWS Developer,Associate,"Hyderabad, India",,"DE-Spring Boot,MVC, REST API.",creq239537
Java FSD React,Senior Software Engineer,"Hyderabad, India",,DE-Full Stack Foundation.,creq242917
MS Power Platform Architect,Architect (Level: Manager),"Hyderabad, India",,IA-PowerPlatform_MicrosoftCopilot.,creq264931
Playwright Consultant,Lead Software Engineer,"Hyderabad, India",,DA-WebCyprssPlywrght.,creq264863
Cloud Support engineer,Lead Software Engineer,"Hyderabad, India",,CIS-Azure Infra - DevOps.,creq263646
Internal Communications & Employee Engagement Manager,Associate Manager-Marketing and Corporate Communication,"Chennai, India",,Not Applicable Skill Classification,job-261393
Marketing Campaign Manager,Associate Manager-Marketing and Corporate Communication,"Bangalore, India",,Not Applicable Skill Classification,job-261392
"Data Engineer with Databricks, AWS",Lead Software Engineer,"Hyderabad, India",,"Data-PL/SQL,RDBMS databases, SQL scripts  .",creq263965
Sap Joule Architect,Architect (Level: Manager),"Hyderabad, India",,SAP-Development.,creq262293
Automation API Testing,Software Engineer,"Hyderabad, India",,DA-APIKarateREST.,creq263933
Ruby with Rails,Lead Software Engineer,"Hyderabad, India",,"DE-Web Foundation, ROR Foundation.",creq262884
Lead Business Analyst,Senior Consultant,"Chennai, India",,CS-BFS-PC-HVP-CROSS-BORD.,creq260307
GoldenSource Developer,Lead Software Engineer,"Chennai, India",,"Data-Ataccama, Palantir, Alation, Monte Carlo, Atlan.",creq264337
Dot Net Azure Cosmos DB - Architect,Architect (Level: Manager),"Gurgaon, India",,DE-Cloud Native Dapr.Net Azure Cosmoss DB Applications.,creq262904
Python Lead Developer,Lead Software Engineer,"Pune, India",,"Data-Oracle OWB with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration .",creq257827
Network Engineer,Senior Software Engineer,"Chennai, India",,AIMS-IMS-TechSupport-NOC.,creq261855
Network Reliability Engineer with APOS,Senior Software Engineer,"Chennai, India",,AIMS-IMS-NWAdmin.,creq260364
Kotlin QA,Lead Software Engineer,"Hyderabad, India",,DA-MobAppiumJava.,creq264877
Salesforce QA,Senior Software Engineer,"Hyderabad, India",,DA-PlatfrmSFSelAPI.,creq264656
Business Analyst,Associate Consultant,"Hyderabad, India",,CS-INS-S&D-C&EM.,creq260904
Java FSD,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq260389
Senior Quality Engineer,Lead Software Engineer,"Pune, India",,DA-WebCyprssPlywrght.,creq263371
Principal Data Engineer,Lead Software Engineer,"Pune, India",,"Data-Other ELT/ETL Tools with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration.",creq263512
Data Architect,Lead Software Engineer,"Pune, India",,"Data-Other ELT/ETL Tools with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration.",creq263500
Senior Software Engineer - Java,Lead Software Engineer,"Pune, India",,"DE-Full Stack, REST API, ORM, SQL.",creq263516
Product Owner,Architect (Level: Manager),"Hyderabad, India",,CS-BA-Product.,creq263731
Devops Engineer,Senior Lead Software Engineer,"Bangalore, India",,CIS-AWS Infra - DevOps.,creq264916
OKTA IAM Engineer-FTE,Lead Software Engineer,"Hyderabad, India",,AIMS-Security-IAM.,creq264654
AWS Angular Dev,Lead Software Engineer,"Hyderabad, India",,DE-Web-Angular_Advanced.,creq264874
AWS Angular Dev,Lead Software Engineer,"Hyderabad, India",,DE-Web-Angular_Advanced.,creq264875
Senior Consultant,Lead Software Engineer,"Bangalore, India",,SAP-Finance & Consolidation.,creq261298
OT Network Engineer,Lead Software Engineer,"Hyderabad, India",,AIMS-IMS-NWAdmin.,creq264999
Google SecOps Engineering Lead,Manager-IT,"Bangalore, India",,Not Mapped Skill Cluster.,job-257362
IVR tester,Senior Lead Software Engineer,"Hyderabad, India",,DA-GenAIAssurance.,creq262951
.NET Tech Lead,Lead Software Engineer,"Hyderabad, India",,DE-.NET Core n-Tier Cross Platform Applications.,creq263327
Java Backend,Lead Software Engineer,"Bangalore, India",,"DE-Full Stack, REST API, ORM, NO SQL.",creq264680
Azure Data Architect,Principal Architect (Level: Director),"Chennai, India",,"Data-Azure Synapse with Azure Databricks, ADF, ADLS, Azure SQL, Azure Functions.",job-189745
Java Microservices,Architect (Level: Manager),"Pune, India",,DE-Service Dev Foundation.,creq264574
Senior Consultant,Lead Software Engineer,"Chennai, India",,"Data-Snowflake with AWS Native Services, ETL.",creq259878
QA Automation,Software Engineer,"Mumbai, India",,DA-WebSeleniumJava.,creq262683
Team Lead _ Deal Ops,Lead Software Engineer,"Hyderabad, India",,KPO-Ads Curation - Operations.,creq262937
Lead Data Architect,Architect (Level: Manager),"Bangalore, India",,"Data-Databricks with AWS Native Services, Spark,Python/Scala/Java,Kafka,HDFS, Hive.",creq264289
React_Advanced,Architect (Level: Manager),"Hyderabad, India",,DE-Web-React_Advanced.,creq254884
SAP + TDM,Lead Software Engineer,"Bangalore, India",,SAP-Supply Chain.,creq264520
