title,role,location,experience,skills,apply_id
Snowflake Developer,Technology Analyst,BANGALORE,3,Technology->Data on Cloud-DataStore->Snowflake,246324
AWS-Sourcing Team Q2 26,Technology Analyst,BANGALORE,3,Technology->Cloud Platform->Amazon Webservices DevOps,246321
SAP Fieldglass Consultant,Associate Consultant,BANGALORE,2,Technology->SAP Functional->SAP Fieldglass,246319
SAP ARIBA Consultant,Associate Consultant,HYDERABAD,2,Technology->SAP Functional->SAP Ariba,246317
Pressure Parts Component Engineer - HRSG,Engineering Analyst,BANGALORE,3,Domain->Core Engineering->Plant Engineering,246314
OTT Video Testing,Associate Consultant,BANGALORE,2,"Technology->Media->Settop Box, DVB,Technology->Media->Video Streaming",246306
Python - Data Processing,Technology Analyst,BANGALORE,3,Technology->OpenSystem->Python - OpenSystem->Python,246301
Energy and Utilities Management Consultant,Consultant - Business Consulting,BANGALORE,3,Domain->Energy - Oil & Gas->Oil & Gas,246298
.Net + Angular Senior Developer,Technology Analyst,BANGALORE,3,".Net,.Net->C#,.Net->.Net Core,Oracle OSS->Angular JS",246295
SAP ABAP Technical Consultant,Technology Analyst,BANGALORE,3,Technology->SAP Technical->SAP ABAP,246294
Python Developer,Technology Analyst,CHENNAI,3,"Technology->Java->Core Java,Technology->OpenSystem->Python - OpenSystem->Python,Technology->Testing Technologyes->Test Automation Technology",246292
Oil and Gas Consultant,Consultant,BANGALORE,3,"Domain->Energy Oil & Gas - Downstream->Operations and Performance Management,Domain->Energy Oil & Gas - Downstream->Process Optimization,Domain->Energy Oil & Gas - Downstream->Supply Chain Management,Domain->Energy Oil & Gas - Midstream->Pipelines,Domain->Energy - Oil & Gas->Oil & Gas,Domain->Energy Oil & Gas->Subsurface,Domain->Energy Oil & Gas - Upstream->Drilling and Completion,Domain->Energy Oil & Gas - Upstream->E&P Data Management,Domain->Energy Oil & Gas - Upstream->Hydrocarbon Allocation and Accounting,Domain->Energy Oil & Gas - Upstream->Production Operations,Technology->CAD->Aveva->Aveva P&ID,Technology->Energy Oil & Gas - RTDM->Real-time data management",246276
PySpark Developer,Technology Analyst,BANGALORE,3,Technology->Big Data - Data Processing->PySpark,246274
Design Engineer,Engineering Analyst,MYSORE,3,"Domain->Automotive->Interiors/ Exteriors,Technology->CAD->CAD - Others,Technology->CAD->CATIA->CATIA V5,Technology->CAD->UG NX",246269
Cost Engineering,Engineering Analyst,BANGALORE,3,"Technology->CAD->CAD - Others,Technology->Embedded Hardware->Board development->BOM,Technology->Value Engineering->Value Engineering",246267
DA Lab Engineer - Medical Devices,Engineering Analyst,Gurgaon,3,Foundational->Quality Assurance->Quality Assurance,246252
GE Proficy,Associate Business Analyst,BANGALORE,1,Technology->Industrial IOT Embedded Software->MES,246239
ServicesConsultant_FY27Q2,Associate Consultant,BANGALORE,2,"Domain->Services->Airlines,Domain->Services->Hospitality,Domain->Services->Travel and Tourism",246234
UtilitiesConsultant_FY27Q2,Associate Consultant,BANGALORE,2,Technology->Utilities Customer Services->CIS->CC&B,246233
PLM Windchill Consultant,Associate Business Analyst,BANGALORE,1,PLM->Windchill,246212
SFCC Full Stack,Technology Analyst,BANGALORE,3,Technology->Digital Commerce->Salesforce Commerce Cloud(Demandware),246201
React Native developer,Technology Analyst,BANGALORE,3,Technology->cross platform mobile development->React Native,246199
IBM Filenet developer,Technology Analyst,BANGALORE,3,Technology->Enterprise Content Management->IBM FileNet,246197
Java Fullstack (Angular) Developer,Technology Analyst,BANGALORE,3,"Technology->Full stack->Java Full stack,Technology->UI & Markup Language->ANGULARJS2",246196
.net developer,Technology Analyst,BANGALORE,3,"Technology->Microsoft Technologies->.NET Frameworks,Technology->ASP.Net->ASP.Net Web API",246195
Newgen engineer,Technology Analyst,BANGALORE,3,"Technology->Infrastructure- Administration,Monitoring->Infrastructure- Administration,Monitoring - ALL->New Relic",246194
"Adobe Workfront, Marketo consultant",Technology Analyst,BANGALORE,3,"Technology->Adobe Experience Cloud->Adobe Sensei,Technology->Sales and Marketing->Marketing Automation->Marketo",246193
Python automation test engineer,Technology Analyst,BANGALORE,3,Technology->Automated Testing->Selenium-Python,246189
Python-GenAI-LLMOps,Associate Consultant,BANGALORE,2,"Technology->AI-Data science->Machine Learning,Technology->AI-Data science->PYTHON,Technology->AI-Generative AI->Generative AI - Basic->retrieval augmented generation (rag)",246178
AI Engineers,Associate Consultant,BANGALORE,2,Technology->AI-AI Engineering->AI/ML Solution Architecture and Design,246172
SAS Developer,Associate Consultant,HYDERABAD,2,Technology->sas->sas,246170
AWS Bedrock/Azure Open AI,Associate Consultant,BANGALORE,2,"Technology->AI-Generative AI->Generative AI - Basic->closed models (azure open ai),Technology->Cloud Security->AWS - Infrastructure Security->AWS Systems Manager",246169
Informatica admin,Associate Consultant,BANGALORE,2,Technology->Data Management - Data Integration Administration->Informatica Administration,246167
IDMC,Associate Consultant,BANGALORE,2,Technology->Data Management->Data Management - ALL,246165
AWS Data Engineer,Associate Consultant,BANGALORE,2,Technology->Cloud Platform->Amazon Webservices DevOps,246158
Informatica-Bigdata-Hive-Hadoop-UNIX(Production Support),Associate Consultant,BANGALORE,2,"Technology->Big Data - Hadoop->Hadoop->Hive,Technology->Data Management - Data Integration->Informatica->Informatica - Informatica Power Center",246157
Kafka Admin,Associate Consultant,HYDERABAD,2,"Domain->Healthcare->Administrative tools,Technology->Integration->Confluent Kafka",246155
PySpark Developer,Associate Consultant,BANGALORE,2,Technology->Big Data - Data Processing->PySpark,246153
Informatica Power Exchange Admin,Associate Consultant,BANGALORE,2,Technology->Data Management - Data Integration->Informatica->Informatica - Informatica Power Center,246151
Informatica PC + IICS Production Support,Associate Consultant,HYDERABAD,2,"Foundational->Maintenance and Production Support process->Support Process - Transition,Technology->Data Management - Data Integration->Informatica->Informatica - Informatica Power Center,Technology->Data on Cloud - Datastore->Cloud based Integration Platforms->Informatica Intelligent Cloud services(IICS)",246150
"MLE/MLOps, OOPs Python, Databricks, Azure",Technology Analyst,BANGALORE,3,"Technology->AI-Data science->Databricks Machine Learning,Technology->AI-Data science->PYTHON,Technology->Data Engineering->Databricks,Technology->Cloud Platform->Azure Networking Services->  Azure NAT Gateway",246139
Python+Spark Scala,Associate Consultant,HYDERABAD,2,"Technology->AI-Data science->PYTHON,Technology->Big Data - Data Processing->Spark->SparkSQL,Technology->Java->Apache->Scala",246136
Snowflake,Associate Consultant,BANGALORE,2,Technology->Data on Cloud-DataStore->Snowflake,246135
Talend Admin,Associate Consultant,BANGALORE,2,Technology->Data Management - Data Integration Administration->Talend Administration,246134
Snowflake Admin,Technology Analyst,BANGALORE,3,"Domain->Healthcare->Administrative tools,Technology->Data on Cloud-DataStore->Snowflake",246127
Python+ETL+Pyspark,Associate Consultant,HYDERABAD,2,"Technology->AI-Data science->PYTHON,Technology->Big Data - Data Processing->PySpark,Technology->ETL & Data Quality->ETL - Others",246128
Hadoop Admin,Technology Analyst,BANGALORE,3,Technology->Big Data - Hadoop->Hadoop Administration,246124
Microsoft Fabric (Azure Subscription),Associate Consultant,BANGALORE,2,"Technology->Cloud Platform->Azure Devops,Technology->Microsoft Technologies->Microsoft Fabric",246119
GCP BigQuery,Associate Consultant,BANGALORE,2,"Technology->Cloud Platform->GCP Core Services->GCP,Technology->OpenSystem->Python - OpenSystem",246114
Tableau Admin,Associate Consultant,BANGALORE,2,Technology->Administration Visualization->Tableau Administration,246109
React js Full stack developer,Technology Analyst,TRIVANDRUM               ,3,"Technology->Reactive Programming->react JS,Technology->AI-Generative AI->Generative AI for Data Analytics,Technology->Full stack->.Net Full stack",246108
Informatica BDM Admin,Associate Consultant,HYDERABAD,2,"Technology->Big Data->Big Data - ALL,Technology->Data Management - Data Integration->Informatica->Informatica - Data Explorer",246107
Power Bi Admin,Technology Analyst,BANGALORE,3,Technology->Business Intelligence - Visualization->MSBI (Power BI),246106
Scala Developer,Technology Analyst,BANGALORE,3,Technology->Functional Programming->Scala,246104
React Native Developer,Technology Analyst,TRIVANDRUM               ,3,Technology->cross platform mobile development->React Native,246102
Databricks Admin,Technology Analyst,BANGALORE,3,Technology->Data Engineering->Databricks,246100
Informatica Admin+UNIX,Associate Consultant,HYDERABAD,2,"Technology->Data Management - Data Integration->Informatica->Informatica - Data Explorer,Technology->Open System->UNIX",246096
React  AI,Technology Analyst,BANGALORE,3,"Technology->AI-Responsible AI->Responsible AI,Technology->Reactive Programming->react JS",246095
Palantir Foundry,Technology Analyst,BANGALORE,3,Technology->Data Engineering->Palantir Foundry,246097
IICS,Associate Consultant,BANGALORE,2,Technology->Data on Cloud - Datastore->Cloud based Integration Platforms->Informatica Intelligent Cloud services(IICS),246089
Databricks,Associate Consultant,BANGALORE,2,Technology->Data Engineering->Databricks,246085
Docusign Consultant,Technology Analyst,BANGALORE,3,Technology->Document security and administration->Electronic signature platforms->Docusign,246083
Python Gen AI,Technology Analyst,BANGALORE,3,"Technology->AI-Generative AI->Generative AI - Basic,Technology->OpenSystem->Python - OpenSystem",246079
AWS Bedrock Developer+Terraform+Python,Associate Consultant,HYDERABAD,2,"Technology->AI-Data science->PYTHON,Technology->AI-Generative AI->Generative AI - Basic->closed models (aws bedrock),Technology->Cloud Platform->Terraform",246077
